PolyX,PolyY,PolyZ,Tf,T0,T1
0.1*t**3 - 1.0*t**2,0.1*t**3 - 1.0*t**2,"      3     2
-0.2 t + 3 t",10.0,0,10.0
10*t + 3238.59713996963*(0.1*t - 1)**3 - 1088.06626385642*(0.1*t - 1)**2 - 100.0,10*t + 70.8230110587462*(0.1*t - 1)**3 - 23.7942929321783*(0.1*t - 1)**2 - 100.0," 
100",2.2397892602487044,10.0,12.239789260248704
10*t + 0.126763090265218*(0.0817007530715999*t - 1)**3 - 0.303014772622769*(0.0817007530715999*t - 1)**2 - 118.194846917208,10*t + 91.4509113898272*(0.0817007530715999*t - 1)**3 - 218.60446177947*(0.0817007530715999*t - 1)**2 - 100.397892602487," 
100",19.505346295385635,12.239789260248704,31.74513555563434
10*t + 3338.70071490429*(0.0315008892700259*t - 1)**3 - 3084.45407439549*(0.0315008892700259*t - 1)**2 - 118.451355556343,10*t + 1502.52940054641*(0.0315008892700259*t - 1)**3 - 1388.10972505729*(0.0315008892700259*t - 1)**2 - 285.451355556343," 
100",19.55179995014327,31.74513555563434,51.29693550577761
10*t + 37.0448502389232*(0.0194943419161437*t - 1)**3 - 21.1794377357931*(0.0194943419161437*t - 1)**2 - 508.461740844578,10*t + 6339.65586946812*(0.0194943419161437*t - 1)**3 - 3624.53474336585*(0.0194943419161437*t - 1)**2 - 460.969355057776," 
100",19.551799950143277,51.29693550577761,70.84873545592089
10*t + 37267.8149351754*(0.0141145779605644*t - 1)**3 - 15395.0680767775*(0.0141145779605644*t - 1)**2 - 509.487354559209,10*t + 16768.016660463*(0.0141145779605644*t - 1)**3 - 6926.74787747527*(0.0141145779605644*t - 1)**2 - 636.487354559209," 
100",19.511404275507388,70.84873545592089,90.36013973142828
10*t + 204.165274959993*(0.011066826622582*t - 1)**3 - 66.1279060203657*(0.011066826622582*t - 1)**2 - 898.687691730526,10*t + 34786.9272444053*(0.011066826622582*t - 1)**3 - 11267.2767492221*(0.011066826622582*t - 1)**2 - 811.601397314283," 
100",19.511404275507388,90.36013973142828,109.87154400693566
10*t + 139568.896861032*(0.00910153770057946*t - 1)**3 - 37100.7890128003*(0.00910153770057946*t - 1)**2 - 899.715440069357,10*t + 62782.4519403189*(0.00910153770057946*t - 1)**3 - 16689.0944582251*(0.00910153770057946*t - 1)**2 - 986.715440069357," 
100",19.471009488934527,109.87154400693566,129.3425534958702
10*t + 603.782471603165*(0.0077314075914848*t - 1)**3 - 136.338589846375*(0.0077314075914848*t - 1)**2 - 1288.10573800439,10*t + 102425.214410322*(0.0077314075914848*t - 1)**3 - 23128.378106667*(0.0077314075914848*t - 1)**2 - 1161.4255349587," 
100",19.471009488934527,129.3425534958702,148.81356298480472
10*t + 348224.656548138*(0.00671981760225786*t - 1)**3 - 68201.6407649025*(0.00671981760225786*t - 1)**2 - 1289.13562984805,10*t + 156606.789256022*(0.00671981760225786*t - 1)**3 - 30672.2679779785*(0.00671981760225786*t - 1)**2 - 1336.13562984805," 
100",19.43061559596336,148.81356298480472,168.24417858076808
10*t + 339.698348465933*(0.00594374205654869*t - 1)**3 - 58.6136634533088*(0.00594374205654869*t - 1)**2 - 1676.71589748281,10*t + 241157.508681301*(0.00594374205654869*t - 1)**3 - 41610.8147623222*(0.00594374205654869*t - 1)**2 - 1510.44178580768," 
100",19.353263870419738,168.24417858076808,187.59744245118782
10*t + 315542.314111574*(0.00533056307662721*t - 1)**3 - 68039.9235499233*(0.00533056307662721*t - 1)**2 - 1676.97442451188,10*t + 304096.832763254*(0.00533056307662721*t - 1)**3 - 65571.9512967428*(0.00533056307662721*t - 1)**2 - 1693.97442451188," 
100",26.967573120323607,187.59744245118782,214.56501557151142
10*t + 1975635.0986925*(0.00466059202305846*t - 1)**3 - 138114.437721609*(0.00466059202305846*t - 1)**2 - 2145.65015571511,10*t + 1975635.0986925*(0.00466059202305846*t - 1)**3 - 138114.437721609*(0.00466059202305846*t - 1)**2 - 2145.65015571511,"     3     2
0.2 t - 3 t + 100",10.0,214.56501557151142,224.56501557151142
