PolyX,PolyY,PolyZ,Tf,T0,T1
0.1*t**3 - 1.0*t**2,0.1*t**3 - 1.0*t**2,"      3     2
-0.2 t + 3 t",10.0,0,10.0
10*t + 873.507276669315*(0.1*t - 1)**3 - 458.715342672111*(0.1*t - 1)**2 - 100.0,10*t + 186.878798762005*(0.1*t - 1)**3 - 98.137902799313*(0.1*t - 1)**2 - 100.0," 
100",3.500946547510507,10.0,13.500946547510507
10*t + 0.322668057698089*(0.0740688807618747*t - 1)**3 - 0.595889265230849*(0.0740688807618747*t - 1)**2 - 118.741009099266,10*t + 167.421360319268*(0.0740688807618747*t - 1)**3 - 309.186450299197*(0.0740688807618747*t - 1)**2 - 104.009465475105," 
100",16.621971974359276,13.500946547510507,30.122918521869785
10*t + 3919.27002589771*(0.0331973145056971*t - 1)**3 - 3253.77029946129*(0.0331973145056971*t - 1)**2 - 119.042088444504,10*t + 1730.80340173882*(0.0331973145056971*t - 1)**3 - 1436.90959427946*(0.0331973145056971*t - 1)**2 - 260.229185218698," 
100",16.671991973318605,30.122918521869785,46.79491049518839
10*t + 52.9181282979989*(0.0213698453403992*t - 1)**3 - 28.3237979298283*(0.0213698453403992*t - 1)**2 - 451.277964012287,10*t + 6470.07811680582*(0.0213698453403992*t - 1)**3 - 3463.03225500776*(0.0213698453403992*t - 1)**2 - 406.949104951884," 
100",16.697612351244317,46.79491049518839,63.492522846432706
10*t + 36823.0697692918*(0.0157498860522312*t - 1)**3 - 14479.5288981458*(0.0157498860522312*t - 1)**2 - 452.480067174005,10*t + 16258.0827243152*(0.0157498860522312*t - 1)**3 - 6392.98624775395*(0.0157498860522312*t - 1)**2 - 553.925228464327," 
100",16.64430885549146,63.492522846432706,80.13683170192417
10*t + 267.542566097954*(0.0124786565523277*t - 1)**3 - 83.480630245425*(0.0124786565523277*t - 1)**2 - 784.160263327967,10*t + 32595.1722562749*(0.0124786565523277*t - 1)**3 - 10170.589161187*(0.0124786565523277*t - 1)**2 - 700.368317019242," 
100",16.66992861215425,80.13683170192417,96.80676031407842
10*t + 130951.305962156*(0.010329857096298*t - 1)**3 - 33716.1721294376*(0.010329857096298*t - 1)**2 - 785.364377334333,10*t + 57805.0304849066*(0.010329857096298*t - 1)**3 - 14883.1227260897*(0.010329857096298*t - 1)**2 - 847.067603140784," 
100",16.616626412191877,96.80676031407842,113.4233867262703
10*t + 194.891518959404*(0.00881652390096008*t - 1)**3 - 42.6441636537601*(0.00881652390096008*t - 1)**2 - 1116.48890081975,10*t + 100162.805599113*(0.00881652390096008*t - 1)**3 - 21916.5979966394*(0.00881652390096008*t - 1)**2 - 993.233867262703," 
100",16.54542825172247,113.4233867262703,129.96881497799276
10*t + 138248.969230816*(0.00769415340263991*t - 1)**3 - 37842.8532636723*(0.00769415340263991*t - 1)**2 - 1116.79137558638,10*t + 127751.499736313*(0.00769415340263991*t - 1)**3 - 34969.3837547813*(0.00769415340263991*t - 1)**2 - 1148.68814977993," 
100",23.717552574075995,129.96881497799276,153.68636755206876
10*t + 725999.018503672*(0.00650675798984709*t - 1)**3 - 70858.4987140487*(0.00650675798984709*t - 1)**2 - 1536.86367552069,10*t + 725999.018503672*(0.00650675798984709*t - 1)**3 - 70858.4987140487*(0.00650675798984709*t - 1)**2 - 1536.86367552069,"     3     2
0.2 t - 3 t + 100",10.0,153.68636755206876,163.68636755206876
