PolyX,PolyY,PolyZ,Tf,T0,T1
0.1*t**3 - 1.0*t**2,0.1*t**3 - 1.0*t**2,"      3     2
-0.2 t + 3 t",10.0,0,10.0
10*t + 90.9171281859708*(0.1*t - 1)**3 - 106.532946186359*(0.1*t - 1)**2 - 100.0,10*t + 101.185189165247*(0.1*t - 1)**3 - 118.564637129192*(0.1*t - 1)**2 - 100.0," 
100",7.811725418665233,10.0,17.811725418665233
10*t + 90.2272219027379*(0.0561427922615561*t - 1)**3 - 38.107771916415*(0.0561427922615561*t - 1)**2 - 121.6698857656,10*t + 3597.37819162415*(0.0561427922615561*t - 1)**3 - 1519.36482951091*(0.0561427922615561*t - 1)**2 - 124.117254186652," 
100",5.015228260224923,17.811725418665233,22.826953678890156
10*t + 13695.9543343317*(0.0438078603946517*t - 1)**3 - 5222.58022656297*(0.0438078603946517*t - 1)**2 - 122.676960562653,10*t + 4629.63742223233*(0.0438078603946517*t - 1)**3 - 1765.38649788703*(0.0438078603946517*t - 1)**2 - 164.269536788902," 
100",5.8029592294615355,22.826953678890156,28.62991290835169
10*t + 843.461959163945*(0.0349285030381035*t - 1)**3 - 257.221358516719*(0.0349285030381035*t - 1)**2 - 235.180708030885,10*t + 9093.15579847143*(0.0349285030381035*t - 1)**3 - 2773.0401617702*(0.0349285030381035*t - 1)**2 - 202.299129083517," 
100",5.820634044797238,28.62991290835169,34.45054695314893
10*t + 37856.0591919781*(0.0290271153418827*t - 1)**3 - 10701.4324775096*(0.0290271153418827*t - 1)**2 - 238.724647613681,10*t + 13423.6764611985*(0.0290271153418827*t - 1)**3 - 3794.70473989251*(0.0290271153418827*t - 1)**2 - 240.505469531489," 
100",6.492491292922175,34.45054695314893,40.943038246071104
10*t + 6131.35967149777*(0.0244241766815134*t - 1)**3 - 1046.21398926219*(0.0244241766815134*t - 1)**2 - 365.417224565974,10*t + 36106.4911671202*(0.0244241766815134*t - 1)**3 - 6160.96888554985*(0.0244241766815134*t - 1)**2 - 285.430382460711," 
100",4.657496506586199,40.943038246071104,45.6005347526573
10*t + 129660.83270508*(0.0219295673926659*t - 1)**3 - 22639.0035345553*(0.0219295673926659*t - 1)**2 - 369.93000506082,10*t + 41948.6293532092*(0.0219295673926659*t - 1)**3 - 7324.30255447405*(0.0219295673926659*t - 1)**2 - 312.005347526573," 
100",5.307954329282822,45.6005347526573,50.908489081940125
10*t + 259191.323759764*(0.0196430893556955*t - 1)**3 - 11836.9568472005*(0.0196430893556955*t - 1)**2 - 472.176996082559,10*t + 389736.07121866*(0.0196430893556955*t - 1)**3 - 17798.7788707335*(0.0196430893556955*t - 1)**2 - 345.084890819401," 
100",1.549953086592339,50.908489081940125,52.458442168532464
10*t + 11227.6457516545*(0.0190627086635039*t - 1)**3 - 5801.27169951582*(0.0190627086635039*t - 1)**2 - 475.834421685325,10*t + 17356.4816675287*(0.0190627086635039*t - 1)**3 - 8968.01236235672*(0.0190627086635039*t - 1)**2 - 350.584421685325," 
100",18.070020060863236,52.458442168532464,70.5284622293957
10*t + 70165.4379091705*(0.01417867295543*t - 1)**3 - 14922.7919533299*(0.01417867295543*t - 1)**2 - 705.284622293957,10*t + 70165.4379091705*(0.01417867295543*t - 1)**3 - 14922.7919533299*(0.01417867295543*t - 1)**2 - 705.284622293957,"     3     2
0.2 t - 3 t + 100",10.0,70.5284622293957,80.5284622293957
