TX,TY,TZ
0.0,0.0,0.0
-0.0004007999935678844,-0.0004007999935678844,0.001203204799967846
-0.0015999806972147675,-0.0015999806972147675,0.004806380645757843
-0.003592713195355494,-0.003592713195355494,0.01079986970619968
-0.0063741685724049086,-0.0063741685724049086,0.01917401415012305
-0.009939517912777855,-0.009939517912777855,0.029919156146357637
-0.014283932300889183,-0.014283932300889183,0.04302563786373313
-0.019402582821153733,-0.019402582821153733,0.05848380147107924
-0.025290640557986344,-0.025290640557986344,0.07628398913722562
-0.03194327659580187,-0.03194327659580187,0.09641654303100197
-0.03935566201901515,-0.03935566201901515,0.11887180532123798
-0.047522967912041046,-0.047522967912041046,0.14364011817676342
-0.05644036535929438,-0.05644036535929438,0.17071182376640784
-0.06610302544518999,-0.06610302544518999,0.200077264259001
-0.07650611925414276,-0.07650611925414276,0.23172678182337259
-0.08764481787056748,-0.08764481787056748,0.26565071862835227
-0.09951429237887906,-0.09951429237887906,0.3018394168427698
-0.11210971386349232,-0.11210971386349232,0.3402832186354549
-0.12542625340882205,-0.12542625340882205,0.380972466175237
-0.13945908209928315,-0.13945908209928315,0.42389750163094614
-0.15420337101929046,-0.15420337101929046,0.46904866717141164
-0.16965429125325882,-0.16965429125325882,0.5164163049654636
-0.1858070138856031,-0.1858070138856031,0.5659907571819314
-0.20265671000073807,-0.20265671000073807,0.6177623659896448
-0.22019855068307867,-0.22019855068307867,0.6717214735574336
-0.23842770701703964,-0.23842770701703964,0.7278584220541273
-0.2573393500870359,-0.2573393500870359,0.7861635536485558
-0.27692865097748237,-0.27692865097748237,0.8466272105095488
-0.29719078077279376,-0.29719078077279376,0.9092397348059358
-0.31812091055738495,-0.31812091055738495,0.9739914687065466
-0.33971421141567065,-0.33971421141567065,1.0408727543802105
-0.36196585443206597,-0.36196585443206597,1.109873933995758
-0.38487101069098567,-0.38487101069098567,1.1809853497220182
-0.4084248512768446,-0.4084248512768446,1.2541973437278209
-0.43262254727405747,-0.43262254727405747,1.329500258181996
-0.45745926976703905,-0.45745926976703905,1.4068844352533725
-0.48293018984020464,-0.48293018984020464,1.486340217110781
-0.5090304785779687,-0.5090304785779687,1.5678579459230506
-0.5357553070647462,-0.5357553070647462,1.6514279638590115
-0.5630998463849518,-0.5630998463849518,1.737040613087493
-0.5910592676230005,-0.5910592676230005,1.824686235777324
-0.6196287418633073,-0.6196287418633073,1.914355174097336
-0.6488034401902869,-0.6488034401902869,2.0060377702163574
-0.6785785336883541,-0.6785785336883541,2.0997243663032186
-0.7089491934419238,-0.7089491934419238,2.1954053045267483
-0.7399105905354108,-0.7399105905354108,2.2930709270557776
-0.7714578960532298,-0.7714578960532298,2.392711576059134
-0.803586281079796,-0.803586281079796,2.4943175937056496
-0.836290916699524,-0.836290916699524,2.597879322164153
-0.8695669739968288,-0.8695669739968288,2.7033871036034745
-0.9034096240561248,-0.9034096240561248,2.810831280192442
-0.9378140379618276,-0.9378140379618276,2.9202021940998875
-0.9727753867983514,-0.9727753867983514,3.0314901874946387
-1.0082888416501115,-1.0082888416501115,3.144685602545527
-1.0443495736015225,-1.0443495736015225,3.259778781421381
-1.080952753736999,-1.080952753736999,3.376760066291031
-1.1180935531409566,-1.1180935531409566,3.4956197993233062
-1.1557671428978094,-1.1557671428978094,3.616348322687037
-1.1939686940919725,-1.1939686940919725,3.738935978551052
-1.2326933778078601,-1.2326933778078601,3.86337310908418
-1.2719363651298883,-1.2719363651298883,3.989650056455254
-1.3116928271424715,-1.3116928271424715,4.117757162833101
-1.3519579349300241,-1.3519579349300241,4.247684770386552
-1.3927268595769615,-1.3927268595769615,4.379423221284436
-1.4339947721676982,-1.4339947721676982,4.512962857695584
-1.475756843786649,-1.475756843786649,4.648294021788823
-1.518008245518229,-1.518008245518229,4.7854070557329855
-1.5607441484468532,-1.5607441484468532,4.924292301696899
-1.6039597236569356,-1.6039597236569356,5.064940101849396
-1.6476501422328917,-1.6476501422328917,5.207340798359302
-1.691810575259136,-1.691810575259136,5.351484733395449
-1.736436193820084,-1.736436193820084,5.497362249126668
-1.7815221690001501,-1.7815221690001501,5.644963687721787
-1.827063671883749,-1.827063671883749,5.794279391349636
-1.873055873555296,-1.873055873555296,5.945299702179046
-1.9194939450992055,-1.9194939450992055,6.098014962378843
-1.9663730575998926,-1.9663730575998926,6.252415514117861
-2.013688382141772,-2.013688382141772,6.408491699564928
-2.0614350898092586,-2.0614350898092586,6.5662338608888735
-2.109608351686767,-2.109608351686767,6.725632340258527
-2.1582033388587125,-2.1582033388587125,6.886677479842717
-2.207215222409509,-2.207215222409509,7.049359621810274
-2.2566391734235736,-2.2566391734235736,7.213669108330032
-2.3064703629853187,-2.3064703629853187,7.379596281570815
-2.3567039621791603,-2.3567039621791603,7.547131483701455
-2.4073351420895133,-2.4073351420895133,7.716265056890782
-2.4583590738007914,-2.4583590738007914,7.8869873433076245
-2.509770928397411,-2.509770928397411,8.059288685120812
-2.561565876963786,-2.561565876963786,8.233159424499178
-2.613739090584332,-2.613739090584332,8.408589903611544
-2.6662857403434628,-2.6662857403434628,8.585570464626748
-2.719200997325593,-2.719200997325593,8.764091449713616
-2.7724800326151393,-2.7724800326151393,8.944143201040976
-2.8261180172965155,-2.8261180172965155,9.125716060777663
-2.880110122454136,-2.880110122454136,9.308800371092504
-2.9344515191724163,-2.9344515191724163,9.493386474154326
-2.989137378535771,-2.989137378535771,9.679464712131963
-3.0441628716286147,-3.0441628716286147,9.86702542719424
-3.099523169535363,-3.099523169535363,10.056058961509994
-3.15521344334043,-3.15521344334043,10.246555657248045
-3.21122886412823,-3.21122886412823,10.43850585657723
-3.26756460298318,-3.26756460298318,10.631899901666378
-3.3242158309896923,-3.3242158309896923,10.826728134684313
-3.381177719232184,-3.381177719232184,11.022980897799872
-3.4384454387950676,-3.4384454387950676,11.220648533181881
-3.496014160762761,-3.496014160762761,11.41972138299917
-3.5538790562196754,-3.5538790562196754,11.620189789420568
-3.612035296250228,-3.612035296250228,11.822044094614903
-3.6704780519388343,-3.6704780519388343,12.025274640751013
-3.7292024943699063,-3.7292024943699063,12.229871769997718
-3.7882037946278615,-3.7882037946278615,12.435825824523857
-3.847477123797113,-3.847477123797113,12.643127146498244
-3.9070176529620784,-3.9070176529620784,12.851766078089732
-3.9668205532071683,-3.9668205532071683,13.061732961467127
-4.026880995616802,-4.026880995616802,13.273018138799275
-4.08719415127539,-4.08719415127539,13.485611952254995
-4.1477551912673505,-4.1477551912673505,13.69950474400313
-4.2085592866770964,-4.2085592866770964,13.914686856212494
-4.269601608589043,-4.269601608589043,14.131148631051925
-4.330877328087607,-4.330877328087607,14.348880410690255
-4.3923816162572,-4.3923816162572,14.567872537296306
-4.45410964418224,-4.45410964418224,14.78811535303892
-4.516056582947139,-4.516056582947139,15.00959920008691
-4.578217603636316,-4.578217603636316,15.232314420609121
-4.640587877334179,-4.640587877334179,15.456251356774372
-4.70316257512515,-4.70316257512515,15.681400350751506
-4.76593686809364,-4.76593686809364,15.90775174470933
-4.828905927324064,-4.828905927324064,16.135295880816695
-4.892064923900837,-4.892064923900837,16.364023101242424
-4.955409028908374,-4.955409028908374,16.59392374815534
-5.018933413431093,-5.018933413431093,16.824988163724285
-5.082633248553403,-5.082633248553403,17.05720669011808
-5.146503705359724,-5.146503705359724,17.290569669505555
-5.210539954934466,-5.210539954934466,17.525067444055544
-5.27473716836205,-5.27473716836205,17.760690355936873
-5.339090516726884,-5.339090516726884,17.99742874731837
-5.403595171113389,-5.403595171113389,18.235272960368874
-5.468246302605975,-5.468246302605975,18.4742133372572
-5.53303908228906,-5.53303908228906,18.714240220152195
-5.597968681247057,-5.597968681247057,18.955343951222673
-5.663030270564381,-5.663030270564381,19.197514872637466
-5.728219021325449,-5.728219021325449,19.44074332656542
-5.793530104614673,-5.793530104614673,19.685019655175342
-5.85895869151647,-5.85895869151647,19.930334200636082
-5.924499953115253,-5.924499953115253,20.17667730511645
-5.99014906049544,-5.99014906049544,20.424039310785297
-6.05590118474144,-6.05590118474144,20.672410559811432
-6.121751496937675,-6.121751496937675,20.921781394363702
-6.187695168168554,-6.187695168168554,21.17214215661092
-6.253727369518497,-6.253727369518497,21.423483188721935
-6.319843272071912,-6.319843272071912,21.675794832865552
-6.38603804691322,-6.38603804691322,21.929067431210626
-6.452306865126834,-6.452306865126834,22.183291325925975
-6.518644897797168,-6.518644897797168,22.438456859180423
-6.585047316008639,-6.585047316008639,22.69455437314281
-6.651509290845658,-6.651509290845658,22.951574209981963
-6.718025993392643,-6.718025993392643,23.20950671186671
-6.784592594734008,-6.784592594734008,23.46834222096588
-6.851204265954167,-6.851204265954167,23.728071079448306
-6.917856178137535,-6.917856178137535,23.98868362948281
-6.98454350236853,-6.98454350236853,24.250170213238228
-7.0512614097315645,-7.0512614097315645,24.512521172883392
-7.11800507131105,-7.11800507131105,24.775726850587123
-7.184769658191408,-7.184769658191408,25.039777588518266
-7.251550341457047,-7.251550341457047,25.304663728845636
-7.318342292192387,-7.318342292192387,25.57037561373807
-7.385140681481838,-7.385140681481838,25.836903585364386
-7.451940680409819,-7.451940680409819,26.104237985893434
-7.518737460060743,-7.518737460060743,26.372369157494028
-7.585526191519024,-7.585526191519024,26.641287442335003
-7.652302045869081,-7.652302045869081,26.91098318258518
-7.719060194195323,-7.719060194195323,27.181446720413405
-7.785795807582168,-7.785795807582168,27.452668397988504
-7.8525040571140305,-7.8525040571140305,27.724638557479288
-7.919180113875326,-7.919180113875326,27.99734754105461
-7.985819148950467,-7.985819148950467,28.27078569088329
-8.052416333423873,-8.052416333423873,28.544943349134165
-8.118966838379952,-8.118966838379952,28.81981085797604
-8.185465834903127,-8.185465834903127,29.095378559577778
-8.251908494077805,-8.251908494077805,29.371636796108184
-8.318289986988407,-8.318289986988407,29.648575909736113
-8.384605484719343,-8.384605484719343,29.926186242630354
-8.45085015835503,-8.45085015835503,30.204458136959776
-8.517019178979883,-8.517019178979883,30.483381934893192
-8.583107717678319,-8.583107717678319,30.762947978599435
-8.64911094553475,-8.64911094553475,31.043146610247334
-8.71502403363359,-8.71502403363359,31.323968172005713
-8.780842153059256,-8.780842153059256,31.60540300604341
-8.846560474896162,-8.846560474896162,31.887441454529252
-8.912174170228722,-8.912174170228722,32.17007385963207
-8.977678410141353,-8.977678410141353,32.45329056352069
-9.043068365718469,-9.043068365718469,32.73708190836394
-9.108339208044484,-9.108339208044484,33.02143823633065
-9.17348610820381,-9.17348610820381,33.306349889589654
-9.238504237280871,-9.238504237280871,33.591807210309796
-9.303388766360072,-9.303388766360072,33.87780054065987
