PolyX,PolyY,PolyZ,Tf,T0,T1
0.1*t**3 - 1.0*t**2,0.1*t**3 - 1.0*t**2,"      3     2
-0.2 t + 3 t",10.0,0,10.0
10*t + 1640.79337606675*(0.1*t - 1)**3 - 721.310019241963*(0.1*t - 1)**2 - 100.0,10*t + 103.871708814921*(0.1*t - 1)**3 - 45.6630952908836*(0.1*t - 1)**2 - 100.0," 
100",2.930736759274602,10.0,12.930736759274602
10*t + 0.209493209491582*(0.0773351138930848*t - 1)**3 - 0.435659773904224*(0.0773351138930848*t - 1)**2 - 120.651629887828,10*t + 127.043733958562*(0.0773351138930848*t - 1)**3 - 264.198751580821*(0.0773351138930848*t - 1)**2 - 101.307367592746," 
100",17.92707861234036,12.930736759274602,30.85781537161496
10*t + 3651.47500066608*(0.0324067011211644*t - 1)**3 - 3179.49447673292*(0.0324067011211644*t - 1)**2 - 120.930754872219,10*t + 1626.97677722768*(0.0324067011211644*t - 1)**3 - 1416.67782910317*(0.0324067011211644*t - 1)**2 - 270.57815371615," 
100",17.912807567754015,30.85781537161496,48.77062293936898
10*t + 44.2930492479404*(0.0205041465482856*t - 1)**3 - 24.5275886639639*(0.0205041465482856*t - 1)**2 - 478.066885131395,10*t + 6362.00445180714*(0.0205041465482856*t - 1)**3 - 3523.00487145824*(0.0205041465482856*t - 1)**2 - 429.70622939369," 
100",18.004717800393266,48.77062293936898,66.77534073976224
10*t + 37160.3870118037*(0.0149755881276175*t - 1)**3 - 14920.6090653993*(0.0149755881276175*t - 1)**2 - 479.181153062362,10*t + 16553.1934227976*(0.0149755881276175*t - 1)**3 - 6646.42506998245*(0.0149755881276175*t - 1)**2 - 589.753407397622," 
100",17.874387836171678,66.77534073976224,84.64972857593392
10*t + 233.590019602834*(0.0118133869632312*t - 1)**3 - 74.3667004607942*(0.0118133869632312*t - 1)**2 - 835.546466087208,10*t + 33399.1372691119*(0.0118133869632312*t - 1)**3 - 10633.0897234572*(0.0118133869632312*t - 1)**2 - 748.497285759339," 
100",17.966295591445686,84.64972857593392,102.6160241673796
10*t + 135437.975320079*(0.00974506670000072*t - 1)**3 - 35311.2620961498*(0.00974506670000072*t - 1)**2 - 836.663131847206,10*t + 60315.6562140304*(0.00974506670000072*t - 1)**3 - 15725.4414062342*(0.00974506670000072*t - 1)**2 - 908.160241673796," 
100",17.835969151565777,102.6160241673796,120.45199331894538
10*t + 678.803905691476*(0.00830206269274511*t - 1)**3 - 151.548067042763*(0.00830206269274511*t - 1)**2 - 1192.25763810749,10*t + 96614.7398443055*(0.00830206269274511*t - 1)**3 - 21569.9658597702*(0.00830206269274511*t - 1)**2 - 1066.51993318945," 
100",17.927874413488937,120.45199331894538,138.37986773243432
10*t + 333565.084593767*(0.00722648472199409*t - 1)**3 - 64351.5766691788*(0.00722648472199409*t - 1)**2 - 1193.37671200642,10*t + 148510.695885794*(0.00722648472199409*t - 1)**3 - 28650.7727393792*(0.00722648472199409*t - 1)**2 - 1225.79867732434," 
100",17.797551520716496,138.37986773243432,156.17741925315082
10*t + 18402.0728083895*(0.00640297428899809*t - 1)**3 - 1193.8139347644*(0.00640297428899809*t - 1)**2 - 1548.2004220397,10*t + 1422675.93271308*(0.00640297428899809*t - 1)**3 - 92294.5132763786*(0.00640297428899809*t - 1)**2 - 1383.77419253151," 
100",6.754557175571733,156.17741925315082,162.93197642872255
10*t + 288279.861588206*(0.00613753065493235*t - 1)**3 - 54263.6356741966*(0.00613753065493235*t - 1)**2 - 1548.94476428723,10*t + 397206.27080507*(0.00613753065493235*t - 1)**3 - 74767.1247229237*(0.00613753065493235*t - 1)**2 - 1441.31976428723," 
100",20.44606089812902,162.93197642872255,183.37803732685157
10*t + 1233309.1577904*(0.00545321574261157*t - 1)**3 - 100882.513721544*(0.00545321574261157*t - 1)**2 - 1833.78037326852,10*t + 1233309.1577904*(0.00545321574261157*t - 1)**3 - 100882.513721544*(0.00545321574261157*t - 1)**2 - 1833.78037326852,"     3     2
0.2 t - 3 t + 100",10.0,183.37803732685157,193.37803732685157
