PolyX,PolyY,PolyZ,Tf,T0,T1
0.1*t**3 - 1.0*t**2,0.1*t**3 - 1.0*t**2,"      3     2
-0.2 t + 3 t",10.0,0,10.0
10*t + 532.015930901774*(0.1*t - 1)**3 - 331.853062330603*(0.1*t - 1)**2 - 100.0,10*t + 183.127347306086*(0.1*t - 1)**3 - 114.228479769386*(0.1*t - 1)**2 - 100.0," 
100",4.1584351527231895,10.0,14.15843515272319
10*t + 0.349395318658139*(0.0706292742957306*t - 1)**3 - 0.625058371049197*(0.0706292742957306*t - 1)**2 - 119.1286553247,10*t + 187.287416786956*(0.0706292742957306*t - 1)**3 - 335.051906546596*(0.0706292742957306*t - 1)**2 - 106.584351527232," 
100",16.886027450996842,14.15843515272319,31.04446260372003
10*t + 3795.35939510767*(0.0322118637634324*t - 1)**3 - 3251.2144164139*(0.0322118637634324*t - 1)**2 - 119.425018194063,10*t + 1688.99472977832*(0.0322118637634324*t - 1)**3 - 1446.84164081557*(0.0322118637634324*t - 1)**2 - 265.4446260372," 
100",17.72905520658399,31.04446260372003,48.77351781030402
10*t + 48.5346404635226*(0.0205029295588094*t - 1)**3 - 26.2694724306641*(0.0205029295588094*t - 1)**2 - 472.874418609369,10*t + 6640.59283048117*(0.0205029295588094*t - 1)**3 - 3594.23431630652*(0.0205029295588094*t - 1)**2 - 422.73517810304," 
100",17.599176852214846,48.77351781030402,66.37269466251887
10*t + 36124.5792487612*(0.0150664366586989*t - 1)**3 - 14667.0049370627*(0.0150664366586989*t - 1)**2 - 474.014528324535,10*t + 16101.5463850808*(0.0150664366586989*t - 1)**3 - 6537.41760417658*(0.0150664366586989*t - 1)**2 - 578.726946625189," 
100",17.965397531648804,66.37269466251887,84.33809219416767
10*t + 237.882327372648*(0.0118570384269275*t - 1)**3 - 75.4596666751005*(0.0118570384269275*t - 1)**2 - 832.205757028145,10*t + 33487.0863412649*(0.0118570384269275*t - 1)**3 - 10622.5813457494*(0.0118570384269275*t - 1)**2 - 738.380921941677," 
100",17.835497057938838,84.33809219416767,102.17358925210651
10*t + 173628.060991608*(0.00978726505861086*t - 1)**3 - 39875.6450145857*(0.00978726505861086*t - 1)**2 - 833.330663762895,10*t + 76026.9567963797*(0.00978726505861086*t - 1)**3 - 17460.4492121708*(0.00978726505861086*t - 1)**2 - 896.735892521065," 
100",15.643545755659844,102.17358925210651,117.81713500776635
10*t + 287.355818162681*(0.00848772973416881*t - 1)**3 - 56.5220674587819*(0.00848772973416881*t - 1)**2 - 1144.9178289509,10*t + 128163.19633213*(0.00848772973416881*t - 1)**3 - 25209.3341110506*(0.00848772973416881*t - 1)**2 - 1033.17135007766," 
100",15.449528962124447,117.81713500776635,133.2666639698908
10*t + 141690.874863583*(0.00750375202778342*t - 1)**3 - 38788.2563226787*(0.00750375202778342*t - 1)**2 - 1145.2418030976,10*t + 131022.299144332*(0.00750375202778342*t - 1)**3 - 35867.7051580774*(0.00750375202778342*t - 1)**2 - 1177.66663969891," 
100",24.32140402506127,133.2666639698908,157.58806799495207
10*t + 782708.390095807*(0.00634565809914005*t - 1)**3 - 74501.9975231449*(0.00634565809914005*t - 1)**2 - 1575.88067994952,10*t + 782708.390095807*(0.00634565809914005*t - 1)**3 - 74501.9975231449*(0.00634565809914005*t - 1)**2 - 1575.88067994952,"     3     2
0.2 t - 3 t + 100",10.0,157.58806799495207,167.58806799495207
