PolyX,PolyY,PolyZ,Tf,T0,T1
0.1*t**3 - 1.0*t**2,0.1*t**3 - 1.0*t**2,"      3     2
-0.2 t + 3 t",10.0,0,10.0
10*t + 248.625609306487*(0.1*t - 1)**3 - 180.090668785664*(0.1*t - 1)**2 - 100.0,10*t + 253.798719763069*(0.1*t - 1)**3 - 183.837784476709*(0.1*t - 1)**2 - 100.0," 
100",4.828965374564763,10.0,14.828965374564763
10*t + 0.86200962595514*(0.0674355880360501*t - 1)**3 - 1.21643069505911*(0.0674355880360501*t - 1)**2 - 113.998391609725,10*t + 311.078509642873*(0.0674355880360501*t - 1)**3 - 438.980536074116*(0.0674355880360501*t - 1)**2 - 114.289653745648," 
100",13.95066297363147,14.828965374564763,28.779628348196233
10*t + 4940.37794158888*(0.0347468003374225*t - 1)**3 - 3567.82832756279*(0.0347468003374225*t - 1)**2 - 114.357259091718,10*t + 2124.76268340443*(0.0347468003374225*t - 1)**3 - 1534.4551734357*(0.0347468003374225*t - 1)**2 - 243.796283481962," 
100",13.85599435123384,28.779628348196233,42.63562269943007
10*t + 77.1100061034408*(0.0234545653771668*t - 1)**3 - 38.4627532025311*(0.0234545653771668*t - 1)**2 - 390.026129906922,10*t + 6623.47962965158*(0.0234545653771668*t - 1)**3 - 3303.81587566642*(0.0234545653771668*t - 1)**2 - 362.356226994301," 
100",14.17786974213238,42.63562269943007,56.81349244156245
10*t + 37720.0975511565*(0.0176014527011974*t - 1)**3 - 13851.6696641689*(0.0176014527011974*t - 1)**2 - 391.443867505055,10*t + 16232.4354094718*(0.0176014527011974*t - 1)**3 - 5960.91600325324*(0.0176014527011974*t - 1)**2 - 484.134924415624," 
100",13.908796297976913,56.81349244156245,70.72228873953937
10*t + 346.724751292751*(0.0141398138807818*t - 1)**3 - 104.651621472344*(0.0141398138807818*t - 1)**2 - 668.174343706073,10*t + 30024.2122996385*(0.0141398138807818*t - 1)**3 - 9062.18113610847*(0.0141398138807818*t - 1)**2 - 603.222887395394," 
100",14.23069675726542,70.72228873953937,84.95298549680479
10*t + 164604.737107339*(0.0117712166812267*t - 1)**3 - 35354.8648173081*(0.0117712166812267*t - 1)**2 - 669.586765537153,10*t + 69241.9371158399*(0.0117712166812267*t - 1)**3 - 14872.2288886662*(0.0117712166812267*t - 1)**2 - 725.529854968048," 
100",12.164499316556473,84.95298549680479,97.11748481336126
10*t + 21342.1805018625*(0.0102968070262712*t - 1)**3 - 1504.95075345908*(0.0102968070262712*t - 1)**2 - 911.22135976152,10*t + 686397.042979865*(0.0102968070262712*t - 1)**3 - 48401.5092513387*(0.0102968070262712*t - 1)**2 - 827.174848133613," 
100",4.565513879307844,97.11748481336126,101.6829986926691
10*t + 94795.2440640236*(0.00983448573367158*t - 1)**3 - 26025.2491341153*(0.00983448573367158*t - 1)**2 - 912.329986926691,10*t + 110941.94985684*(0.00983448573367158*t - 1)**3 - 30458.1934774992*(0.00983448573367158*t - 1)**2 - 862.829986926691," 
100",18.610816747257488,101.6829986926691,120.29381543992659
10*t + 348144.786054754*(0.00831297931936816*t - 1)**3 - 43411.8060992854*(0.00831297931936816*t - 1)**2 - 1202.93815439927,10*t + 348144.786054754*(0.00831297931936816*t - 1)**3 - 43411.8060992854*(0.00831297931936816*t - 1)**2 - 1202.93815439927,"     3     2
0.2 t - 3 t + 100",10.0,120.29381543992659,130.2938154399266
