PolyX,PolyY,PolyZ,Tf,T0,T1
0.1*t**3 - 1.0*t**2,0.1*t**3 - 1.0*t**2,"      3     2
-0.2 t + 3 t",10.0,0,10.0
10*t + 389.145968283158*(0.1*t - 1)**3 - 263.525005927228*(0.1*t - 1)**2 - 100.0,10*t + 198.79294171122*(0.1*t - 1)**3 - 134.62020787177*(0.1*t - 1)**2 - 100.0," 
100",4.514587111358274,10.0,14.514587111358274
10*t + 9.28683696238209*(0.068896207127894*t - 1)**3 - 7.27806718454051*(0.068896207127894*t - 1)**2 - 117.903446871159,10*t + 923.223077223039*(0.068896207127894*t - 1)**3 - 723.52724717413*(0.068896207127894*t - 1)**2 - 109.145871113583," 
100",7.583359873064271,14.514587111358274,22.097946984422546
10*t + 5734.83993236545*(0.0452530726363371*t - 1)**3 - 3354.06822839372*(0.0452530726363371*t - 1)**2 - 118.565676740777,10*t + 2232.31124448717*(0.0452530726363371*t - 1)**3 - 1305.58556286194*(0.0452530726363371*t - 1)**2 - 174.979469844225," 
100",8.6161105066925,22.097946984422546,30.714057491115046
10*t + 86.3535431546718*(0.0325583814606481*t - 1)**3 - 32.1319966807334*(0.0325583814606481*t - 1)**2 - 288.53451430509,10*t + 8672.21114974633*(0.0325583814606481*t - 1)**3 - 3226.91402921542*(0.0325583814606481*t - 1)**2 - 241.14057491115," 
100",7.6190966987012025,30.714057491115046,38.33315418981625
10*t + 13684.3702523162*(0.0260870784347213*t - 1)**3 - 6478.60720673434*(0.0260870784347213*t - 1)**2 - 289.19361086368,10*t + 12530.5955341957*(0.0260870784347213*t - 1)**3 - 5932.37430993751*(0.0260870784347213*t - 1)**2 - 307.331541898162," 
100",12.098739628346841,38.33315418981625,50.43189381816309
10*t + 25653.4528077765*(0.0198287219513428*t - 1)**3 - 7630.12774225943*(0.0198287219513428*t - 1)**2 - 504.318938181631,10*t + 25653.4528077765*(0.0198287219513428*t - 1)**3 - 7630.12774225943*(0.0198287219513428*t - 1)**2 - 504.318938181631,"     3     2
0.2 t - 3 t + 100",10.0,50.43189381816309,60.43189381816309
